resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,pitstopId
142,24,21,10,21,17,\N,R,14,0.0,51,\N,\N,41,16,1:19.066,198.563,20,21_24
143,24,6,3,8,12,\N,R,15,0.0,46,\N,\N,30,14,1:18.784,199.273,3,6_24
144,24,4,4,5,4,\N,R,16,0.0,44,\N,\N,16,9,1:18.225,200.697,20,4_24
145,24,12,4,6,15,\N,R,17,0.0,43,\N,\N,16,18,1:19.239,198.129,23,12_24
146,24,8,6,1,3,\N,R,18,0.0,19,\N,\N,14,1,1:17.387,202.871,4,8_24
147,24,1,1,22,1,\N,R,19,0.0,19,\N,\N,4,3,1:17.506,202.559,4,1_24
148,24,16,10,20,16,\N,R,20,0.0,13,\N,\N,7,20,1:20.666,194.624,6,16_24
149,25,13,6,2,2,1,1,1,10.0,70,1:31:50.245,5510245,20,2,1:16.729,206.956,1,13_25
150,25,8,6,1,1,2,2,2,8.0,70,+17.984,5528229,16,1,1:16.630,207.224,1,8_25
151,25,15,7,11,4,3,3,3,6.0,70,+28.250,5538495,12,7,1:17.567,204.721,1,15_25
152,25,5,1,23,10,4,4,4,5.0,70,+28.929,5539174,46,3,1:17.134,205.870,1,5_25
153,25,9,2,4,5,5,5,5,4.0,70,+30.512,5540757,16,4,1:17.172,205.768,1,9_25
154,25,17,9,10,6,6,6,6,3.0,70,+40.304,5550549,22,6,1:17.507,204.879,1,17_25
155,25,12,4,6,9,7,7,7,2.0,70,+41.033,5551278,24,10,1:17.758,204.218,1,12_25
156,25,4,4,5,3,8,8,8,1.0,70,+43.372,5553617,39,8,1:17.641,204.525,1,4_25
157,25,14,9,9,7,9,9,9,0.0,70,+51.021,5561266,23,12,1:17.818,204.060,1,14_25
158,25,1,1,22,13,10,10,10,0.0,70,+54.538,5564783,40,5,1:17.453,205.022,1,1_25
159,25,10,7,12,8,11,11,11,0.0,70,+57.700,5567945,45,13,1:17.836,204.013,1,10_25
160,25,20,5,15,12,12,12,12,0.0,70,+58.065,5568310,36,11,1:17.760,204.212,1,20_25
161,25,2,2,3,11,13,13,13,0.0,70,+1:02.079,5572324,46,9,1:17.716,204.328,1,2_25
162,25,22,11,17,20,14,14,14,0.0,69,\N,\N,54,14,1:17.969,203.665,11,22_25
163,25,6,3,8,15,15,15,15,0.0,69,\N,\N,60,15,1:18.054,203.443,11,6_25
164,25,3,3,7,19,16,16,16,0.0,69,\N,\N,38,17,1:18.311,202.776,11,3_25
165,25,7,5,14,14,17,17,17,0.0,69,\N,\N,28,16,1:18.216,203.022,11,7_25
166,25,21,10,21,17,18,18,18,0.0,69,\N,\N,53,19,1:18.557,202.141,11,21_25
167,25,16,10,20,18,19,19,19,0.0,69,\N,\N,41,18,1:18.462,202.385,11,16_25
168,25,18,11,16,16,\N,R,20,0.0,16,\N,\N,15,20,1:20.876,196.345,4,18_25
169,26,1,1,22,4,1,1,1,10.0,60,1:39:09.440,5949440,16,3,1:32.817,199.398,1,1_26
170,26,2,2,3,5,2,2,2,8.0,60,+1:08.577,6018017,21,2,1:32.719,199.609,1,2_26
171,26,22,11,17,16,3,3,3,6.0,60,+1:22.273,6031713,21,11,1:33.386,198.183,1,22_26
172,26,8,6,1,3,4,4,4,5.0,59,\N,\N,18,1,1:32.150,200.842,11,8_26
173,26,5,1,23,1,5,5,5,4.0,59,\N,\N,17,5,1:33.130,198.728,11,5_26
174,26,4,4,5,6,6,6,6,3.0,59,\N,\N,17,6,1:33.133,198.722,11,4_26
175,26,15,7,11,14,7,7,7,2.0,59,\N,\N,22,13,1:33.808,197.292,11,15_26
176,26,6,3,8,15,8,8,8,1.0,59,\N,\N,21,14,1:34.277,196.310,11,6_26
177,26,3,3,7,20,9,9,9,0.0,59,\N,\N,21,16,1:34.797,195.234,11,3_26
178,26,17,9,10,2,10,10,10,0.0,59,\N,\N,17,4,1:32.952,199.109,11,17_26
179,26,7,5,14,13,11,11,11,0.0,59,\N,\N,21,9,1:33.367,198.224,11,7_26
180,26,10,7,12,12,12,12,12,0.0,59,\N,\N,19,15,1:34.610,195.619,11,10_26
181,26,13,6,2,9,13,13,13,0.0,58,\N,\N,19,8,1:33.257,198.458,12,13_26
182,26,9,2,4,10,\N,R,14,0.0,39,\N,\N,22,12,1:33.539,197.859,20,9_26
183,26,18,11,16,17,\N,R,15,0.0,38,\N,\N,21,10,1:33.376,198.205,20,18_26
184,26,12,4,6,7,\N,R,16,0.0,35,\N,\N,21,7,1:33.203,198.573,20,12_26
185,26,21,10,21,19,\N,R,17,0.0,16,\N,\N,21,17,1:34.930,194.960,20,21_26
